,Pertanyaan 1,Pertanyaan 2,Pertanyaan 3,Pertanyaan 4,Pertanyaan 5,Pertanyaan 6,Pertanyaan 7,Pertanyaan 8,Pertanyaan 9,Pertanyaan 10,Pertanyaan 11,Pertanyaan 12,Pertanyaan 13,Pertanyaan 14,Pertanyaan 15,Pertanyaan 16,Pertanyaan 17,Pertanyaan 18,Pertanyaan 19,Pertanyaan 20,Pertanyaan 21,Pertanyaan 22,Pertanyaan 23,Pertanyaan 24,Pertanyaan 25
1,4,4,2,4,4,4,1,2,4,3,2,2,3,4,2,4,3,4,1,3,2,1,3,4,3
2,5,5,5,5,5,5,1,1,5,5,3,2,2,2,2,3,2,3,1,2,2,2,4,4,2
3,5,5,5,5,5,5,5,2,5,5,4,4,3,4,1,2,2,2,2,5,4,3,3,4,3
4,5,5,5,5,5,5,4,4,5,5,2,2,2,2,1,3,3,3,3,3,3,4,3,5,3
5,5,5,5,5,4,5,4,3,5,5,2,2,3,2,2,4,3,2,2,1,2,1,4,3,2
6,5,5,5,5,4,5,3,2,5,4,2,1,2,3,3,4,4,3,2,2,1,2,1,2,3
7,5,5,5,5,4,5,3,1,5,4,2,2,4,4,2,4,4,4,4,4,2,2,3,3,3
8,5,5,5,5,5,5,2,2,5,5,2,2,2,3,1,4,2,1,1,1,1,1,2,1,1
9,5,4,4,5,5,4,3,4,5,5,2,2,1,4,2,4,2,2,2,2,4,2,2,4,2
10,5,5,4,4,2,4,2,2,5,4,3,2,2,4,3,3,3,3,3,3,4,4,3,3,3
11,5,5,4,4,4,5,3,3,5,4,2,2,1,2,2,3,3,3,3,2,2,4,3,3,2
12,4,5,5,5,5,5,2,1,5,3,2,2,2,3,3,4,3,3,2,3,1,3,4,4,3
13,5,4,4,5,5,5,1,2,5,5,2,1,3,4,3,5,5,5,2,2,2,3,4,3,2
14,5,5,5,5,5,4,4,4,5,5,1,1,1,1,1,3,3,2,1,1,5,5,4,2,2
15,5,5,5,5,3,5,3,4,5,5,4,4,3,4,4,5,5,5,3,5,2,1,4,5,4
16,5,5,5,5,5,4,5,5,5,4,1,1,1,2,2,4,3,4,1,4,1,2,2,4,2
17,5,5,5,5,5,4,4,4,5,5,2,4,4,4,2,4,3,3,3,2,3,2,2,4,2
18,5,5,5,5,5,5,2,5,5,4,2,2,2,5,3,5,3,3,2,5,5,3,2,2,4
19,5,5,5,5,5,5,4,5,5,4,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2
20,5,5,4,5,4,5,2,2,5,4,1,2,1,2,1,4,3,2,1,3,1,1,2,5,2
21,5,5,5,5,5,5,5,4,5,5,3,4,2,5,4,4,3,4,2,3,5,4,3,5,4
22,5,5,5,5,5,5,3,2,4,5,2,4,4,4,3,3,3,4,2,4,4,2,5,5,4
23,5,5,5,3,5,4,2,4,4,5,2,3,3,4,4,5,3,4,3,3,2,4,3,5,4
